target_definition,model,mapping,domain,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,calibration_intercept,10,-0.029429460318851818,0.014733560043510138,-0.05195946076555521,-0.03940936712695144,-0.026804846588393556,-0.021321051768816573,-0.0008126943846810581
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,calibration_slope,10,0.979740707200904,0.015847809378151445,0.9526791149540491,0.9754535592439358,0.982917885332012,0.9898176338660599,1.0004252391669635
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,hcep_080,10,0.04802,0.0016366330991503782,0.04493333333333333,0.047516666666666665,0.04796666666666667,0.0491,0.0502
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,hcep_090,10,0.016246666666666666,0.001039966761102263,0.015,0.015516666666666668,0.016166666666666666,0.01685,0.018333333333333333
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,hcep_095,10,0.005266666666666668,0.0004499657051403686,0.0044666666666666665,0.004983333333333333,0.005366666666666667,0.005600000000000001,0.0058
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,aurc,10,0.08147442443550092,0.0018821043279354554,0.07818819676685673,0.0804140424674759,0.08091093708342013,0.0829139086022634,0.08429965122888364
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,excess_aurc,10,0.06072822672662764,0.0015067157174000125,0.05824879945869525,0.05987060902418513,0.06053877167881065,0.06164707052703906,0.06325828162838433
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,prevalence,10,0.5095089660859984,0.0,0.5095089660859984,0.5095089660859984,0.5095089660859984,0.5095089660859984,0.5095089660859984
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,auroc,10,0.8723444445948358,0.0003104153161730932,0.8720531024381534,0.8720969862470971,0.8721947984197329,0.8725838915131265,0.872810680860347
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,average_precision,10,0.8652660027685778,0.0004504865445494576,0.8648736614001692,0.8649807602761106,0.865066796632747,0.8655259792876407,0.8662808430008533
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,pr_skill,10,0.7253079303891101,0.0009184399171472672,0.7245080353017774,0.7247263856253028,0.7249017942478619,0.7258379635621703,0.7273769595091276
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,brier,10,0.15857625056223437,0.00044754573541706534,0.1579665409151294,0.15811702464426908,0.15867811665844117,0.15897218058613607,0.15905384459644736
survey_year_adjusted_50000,logistic_regression,raw,ood_test,survey_weighted,log_loss,10,0.4873396464952517,0.001442439915557562,0.48484909759247596,0.4861223972961647,0.48793637902848364,0.4882841618107681,0.488876456156015
